CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"2,800","1,362.95","1,643.10",200,"14,250.00",50,76.05,80.00,100,4.50,77.00,26.34,181,120,180,
,191,36,41,-,"1,498.75",-31.30,100,"1,477.75","1,519.30",50,"14,300.00",50,84.50,89.00,50,7.55,85.00,26.39,"2,188",392,"3,941",
,-,-,-,-,-,-,400,"1,280.65","1,624.60","2,750","14,350.00",250,62.60,113.65,"2,750",-7.65,77.35,25.13,5,1,19,
,-,-,-,-,-,-,100,"1,245.10","1,502.25",50,"14,400.00",250,95.65,100.00,350,8.40,97.00,25.98,291,46,951,
,-,-,-,-,-,-,"2,800","1,175.65","1,569.15","2,750","14,450.00",100,84.25,127.75,600,-5.90,95.45,25.50,14,5,20,
,"1,487",93,301,-,"1,322.00",-27.30,350,"1,315.25","1,335.80",100,"14,500.00",50,111.05,112.60,50,13.00,115.00,25.97,"8,032","1,976","15,188",
,-,-,-,-,-,-,"2,750","1,064.25","1,320.65",200,"14,550.00",50,111.75,131.05,"2,750",3.55,120.00,26.17,4,-,19,
,2,-,1,-,"1,243.35",-37.80,"2,750","1,018.65","1,257.05",100,"14,600.00",100,119.90,124.90,50,8.50,123.30,25.74,379,103,"1,134",
,7,2,5,18.19,"1,247.95",63.80,"1,300","1,016.10","1,412.45",850,"14,650.00",50,121.05,154.40,"2,800",7.75,129.90,25.53,2,-,81,
,23,17,22,19.90,"1,221.90",34.75,350,942.50,"1,220.05",50,"14,700.00",150,140.00,142.60,100,11.65,140.65,25.45,"1,223",344,"1,598",
,5,1,3,12.06,"1,114.10",-92.10,"1,700",934.30,"1,319.40","2,750","14,750.00",100,140.40,161.40,150,6.05,147.55,25.36,17,-3,120,
,21,18,20,19.37,"1,131.50",60.50,50,"1,051.95","1,102.60",250,"14,800.00",100,157.80,165.00,100,15.35,162.00,25.36,"1,750",424,"2,737",
,8,1,2,16.25,"1,054.10",-51.85,"1,450",865.60,"1,220.70","2,750","14,850.00",100,159.35,187.90,50,7.00,170.00,25.38,5,-,103,
,16,7,10,16.25,"1,011.15",-54.95,100,829.70,"1,087.20",50,"14,900.00",50,161.15,187.30,50,13.00,179.25,25.13,719,336,"1,837",
,2,-,1,16.22,968.35,-64.10,"2,750",662.70,"1,129.00","2,750","14,950.00",100,161.25,200.40,600,-12.70,171.35,23.95,10,-,66,
,"1,848",369,"1,005",16.30,925.00,-16.35,"1,000",925.00,930.40,50,"15,000.00",50,201.75,203.50,"4,250",13.30,203.50,25.04,"11,130",445,"24,041",
,3,-,-,-,-,-,"1,850",745.85,"1,047.25","2,750","15,050.00",100,205.55,236.95,400,-7.95,193.90,23.76,11,4,337,
